Дата,Сообщение
2022-04-28T03:00:00.000+03:00,"🟢 INDICATOR LOADED! Symbol=BYBIT:APEXUSDT, timeframe=1D"
2022-04-28T03:00:00.000+03:00,"📊 SETTINGS: lookback=500, minGrowth=100%, wickThreshold=15%, skipDays=30"
2022-04-28T03:00:00.000+03:00,"⏳ Processing bar 0, isAfterListing=0"
2022-04-29T03:00:00.000+03:00,"📈 CHART INFO: first bar_index=0, total bars will be known at end"
2022-05-28T03:00:00.000+03:00,"✅ SKIP PERIOD ENDED: bar_index=30, firstBarAfterListing=30, skipDays=30"
2022-05-28T03:00:00.000+03:00,"🚀 FIRST CYCLE STARTED: bar_index=30, skipDays=30, searchStartBar=30"
2022-07-06T03:00:00.000+03:00,"🎯 FIRST CYCLE MIN with 100%+ growth: price=0.125, minBar=30, growth=111.218%"
2022-07-06T03:00:00.000+03:00,"📍 NEW MIN FOUND (COND1: lower MIN): price=0.125, minBar=30, localMax=0.264, prevMin=0"
2022-07-07T03:00:00.000+03:00,"⏳ 100% GROWTH! PENDING MAX set (waiting for 0.618 touch). max=0.268, maxBar=70, min=0.125, minBar=30, growth=114.744%"
2022-07-07T03:00:00.000+03:00,"🔒 touchedZone06_07 = true: цена достигла зоны 78.6%+ (high=0.268, level_0786=0.228)"
2022-07-07T03:00:00.000+03:00,"🎨 DRAW CHECK bar=70: showFibLines=true, canBuild=true, needsRedraw=true, drawnCycleId=-1, currentCycleId=0"
2022-07-07T03:00:00.000+03:00,"📦 BOX CREATE: startBar=70, endBar=70, cycle=0, minBar=30, valid=1"
2022-07-07T03:00:00.000+03:00,"✅ BOXES CREATED: bar=70, fib_1=0.268, fib_0=0.125"
2022-07-08T03:00:00.000+03:00,"🎨 DRAW CHECK bar=71: showFibLines=true, canBuild=false, needsRedraw=false, drawnCycleId=0, currentCycleId=0"
2022-07-09T03:00:00.000+03:00,"🎨 DRAW CHECK bar=72: showFibLines=true, canBuild=false, needsRedraw=false, drawnCycleId=0, currentCycleId=0"
2022-07-10T03:00:00.000+03:00,"🔺 NEW HIGH CHECK: high=0.284 > maxForComparison=0.268, wick=5.421%, threshold=15%"
2022-07-10T03:00:00.000+03:00,"🔍 Found best MAX: bar=73, price=0.284, barsSearched=43"
